"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae6302770","      SEL R211, R211, RZ, P2","55296","1769472"
"0x782ae6302780","      HMMA.1688.F32.TF32 R80, R156, R140, R80","55296","1769472"
"0x782ae6302790","@P3   LDGSTS.E.BYPASS.LTC128B.128 [R199+UR10+0xa180], [R208.64+0x180]","55296","1720320"
"0x782ae63027a0","      UMOV UR10, UR7","55296","1769472"
"0x782ae63027b0","      FSETP.GEU.AND P3, PT, |R165|, +INF , PT","55296","1769472"
"0x782ae63027c0","@!P1  IMAD.MOV.U32 R198, RZ, RZ, RZ","55296","12288"
"0x782ae63027d0","      FSETP.GEU.AND P1, PT, |R166|, +INF , PT","55296","1769472"
"0x782ae63027e0","@!P6  IMAD.IADD.U32 R168, R168, 0x1, R203","55296","1769472"
"0x782ae63027f0","      FSETP.GEU.AND P6, PT, |R174|, +INF , PT","55296","1769472"
"0x782ae6302800","      HMMA.1688.F32.TF32 R84, R156, R142, R84","55296","1769472"
"0x782ae6302810","      LDGDEPBAR","55296","1769472"
"0x782ae6302820","@!P5  IMAD.IADD.U32 R169, R169, 0x1, R203","55296","1769472"
"0x782ae6302830","      FSETP.GEU.AND P5, PT, |R175|, +INF , PT","55296","1769472"
"0x782ae6302840","@!P4  IMAD.IADD.U32 R170, R170, 0x1, R203","55296","1769472"
"0x782ae6302850","      FSETP.GEU.AND P4, PT, |R176|, +INF , PT","55296","1769472"
"0x782ae6302860","      HMMA.1688.F32.TF32 R88, R156, R144, R88","55296","1769472"
"0x782ae6302870","@!P3  IMAD.IADD.U32 R165, R165, 0x1, R203","55296","1769472"
"0x782ae6302880","      FSETP.GEU.AND P3, PT, |R171|, +INF , PT","55296","1769472"
"0x782ae6302890","@!P1  IMAD.IADD.U32 R166, R166, 0x1, R203","55296","1769472"
"0x782ae63028a0","      FSETP.GEU.AND P1, PT, |R172|, +INF , PT","55296","1769472"
"0x782ae63028b0","      HMMA.1688.F32.TF32 R92, R156, R146, R92","55296","1769472"
"0x782ae63028c0","      IADD3 R208, P0, R208, c[0x0][0x1c8], RZ","55296","1769472"
"0x782ae63028d0","@!P6  IMAD.IADD.U32 R174, R174, 0x1, R203","55296","1769472"
"0x782ae63028e0","      FSETP.GEU.AND P6, PT, |R180|, +INF , PT","55296","1769472"
"0x782ae63028f0","@!P5  IMAD.IADD.U32 R175, R175, 0x1, R203","55296","1769472"
"0x782ae6302900","      HMMA.1688.F32.TF32 R96, R156, R148, R96","55296","1769472"
"0x782ae6302910","      DEPBAR.LE SB0, 0x3","55296","1769472"
"0x782ae6302920","      BAR.SYNC.DEFER_BLOCKING 0x0","55296","1769472"
"0x782ae6302930","      IADD3.X R209, R209, c[0x0][0x1cc], RZ, P0, !PT","55296","1769472"
"0x782ae6302940","@!P3  IMAD.IADD.U32 R171, R171, 0x1, R203","55296","1769472"
"0x782ae6302950","      HMMA.1688.F32.TF32 R100, R160, R148, R100","55296","1769472"
"0x782ae6302960","      IADD3 R206, P0, R218, c[0x0][0x1a8], RZ","55296","1769472"
"0x782ae6302970","@!P1  IMAD.IADD.U32 R172, R172, 0x1, R203","55296","1769472"
"0x782ae6302980","      FSETP.GEU.AND P3, PT, |R177|, +INF , PT","55296","1769472"
"0x782ae6302990","      HMMA.1688.F32.TF32 R104, R160, R146, R104","55296","1769472"
"0x782ae63029a0","      FSETP.GEU.AND P1, PT, |R178|, +INF , PT","55296","1769472"
"0x782ae63029b0","@!P4  IMAD.IADD.U32 R176, R176, 0x1, R203","55296","1769472"
"0x782ae63029c0","      IADD3.X R207, R219, c[0x0][0x1ac], RZ, P0, !PT","55296","1769472"
"0x782ae63029d0","@!P6  IMAD.IADD.U32 R180, R180, 0x1, R203","55296","1769472"
"0x782ae63029e0","      FSETP.GEU.AND P0, PT, |R167|, +INF , PT","55296","1769472"
"0x782ae63029f0","      HMMA.1688.F32.TF32 R108, R160, R144, R108","55296","1769472"
"0x782ae6302a00","      FSETP.GEU.AND P5, PT, |R181|, +INF , PT","55296","1769472"
"0x782ae6302a10","@!P3  IMAD.IADD.U32 R177, R177, 0x1, R203","55296","1769472"
"0x782ae6302a20","      FSETP.GEU.AND P4, PT, |R184|, +INF , PT","55296","1769472"
"0x782ae6302a30","      FSETP.GEU.AND P3, PT, |R185|, +INF , PT","55296","1769472"
"0x782ae6302a40","      HMMA.1688.F32.TF32 R112, R160, R142, R112","55296","1769472"
"0x782ae6302a50","      FSETP.GEU.AND P6, PT, |R190|, +INF , PT","55296","1769472"
"0x782ae6302a60","@!P0  IMAD.IADD.U32 R167, R167, 0x1, R203","55296","1769472"
"0x782ae6302a70","      FSETP.GEU.AND P0, PT, |R173|, +INF , PT","55296","1769472"
"0x782ae6302a80","@!P1  IMAD.IADD.U32 R178, R178, 0x1, R203","55296","1769472"
"0x782ae6302a90","      FSETP.GEU.AND P1, PT, |R186|, +INF , PT","55296","1769472"
"0x782ae6302aa0","      HMMA.1688.F32.TF32 R116, R160, R140, R116","55296","1769472"
"0x782ae6302ab0","@!P5  IMAD.IADD.U32 R181, R181, 0x1, R203","55296","1769472"
"0x782ae6302ac0","      FSETP.GEU.AND P5, PT, |R191|, +INF , PT","55296","1769472"
"0x782ae6302ad0","@!P4  IMAD.IADD.U32 R184, R184, 0x1, R203","55296","1769472"
"0x782ae6302ae0","      FSETP.GEU.AND P4, PT, |R192|, +INF , PT","55296","1769472"
"0x782ae6302af0","      HMMA.1688.F32.TF32 R120, R160, R138, R120","55296","1769472"
"0x782ae6302b00","@!P0  IMAD.IADD.U32 R173, R173, 0x1, R203","55296","1769472"
"0x782ae6302b10","      FSETP.GEU.AND P0, PT, |R179|, +INF , PT","55296","1769472"
"0x782ae6302b20","@!P3  IMAD.IADD.U32 R185, R185, 0x1, R203","55296","1769472"
"0x782ae6302b30","      FSETP.GEU.AND P3, PT, |R193|, +INF , PT","55296","1769472"
"0x782ae6302b40","      HMMA.1688.F32.TF32 R124, R160, R136, R124","55296","1769472"
"0x782ae6302b50","@!P1  IMAD.IADD.U32 R186, R186, 0x1, R203","55296","1769472"
"0x782ae6302b60","      FSETP.GEU.AND P1, PT, |R188|, +INF , PT","55296","1769472"
"0x782ae6302b70","@!P6  IMAD.IADD.U32 R190, R190, 0x1, R203","55296","1769472"
"0x782ae6302b80","      HMMA.1688.F32.TF32 R128, R160, R2, R128","55296","1769472"
"0x782ae6302b90","@!P0  IMAD.IADD.U32 R179, R179, 0x1, R203","55296","1769472"
"0x782ae6302ba0","      FSETP.GEU.AND P0, PT, |R187|, +INF , PT","55296","1769472"
"0x782ae6302bb0","@!P5  IMAD.IADD.U32 R191, R191, 0x1, R203","55296","1769472"
"0x782ae6302bc0","      HMMA.1688.F32.TF32 R4, R164, R150, R4","55296","1769472"
"0x782ae6302bd0","@!P1  IMAD.IADD.U32 R188, R188, 0x1, R203","55296","1769472"
"0x782ae6302be0","      FSETP.GEU.AND P1, PT, |R194|, +INF , PT","55296","1769472"
"0x782ae6302bf0","@!P4  IMAD.IADD.U32 R192, R192, 0x1, R203","55296","1769472"
"0x782ae6302c00","      HMMA.1688.F32.TF32 R8, R164, R168, R8","55296","1769472"
"0x782ae6302c10","      LDS R139, [R215+UR4+0x800]","55296","1769472"
"0x782ae6302c20","@!P0  IMAD.IADD.U32 R187, R187, 0x1, R203","55296","1769472"
"0x782ae6302c30","      LDS R138, [R215+UR4]","55296","1769472"
"0x782ae6302c40","      FSETP.GEU.AND P0, PT, |R189|, +INF , PT","55296","1769472"
"0x782ae6302c50","@!P3  IMAD.IADD.U32 R193, R193, 0x1, R203","55296","1769472"
"0x782ae6302c60","      HMMA.1688.F32.TF32 R12, R164, R170, R12","55296","1769472"
"0x782ae6302c70","      LDS R145, [R214+UR4+0x880]","55296","1769472"
"0x782ae6302c80","@!P1  IMAD.IADD.U32 R194, R194, 0x1, R203","55296","1769472"
"0x782ae6302c90","      LDS R2, [R213+UR4]","55296","1769472"
"0x782ae6302ca0","      HMMA.1688.F32.TF32 R16, R164, R172, R16","55296","1769472"
"0x782ae6302cb0","      LDS R3, [R213+UR4+0x800]","55296","1769472"
"0x782ae6302cc0","@!P0  IMAD.IADD.U32 R189, R189, 0x1, R203","55296","1769472"
"0x782ae6302cd0","      LDS R136, [R214+UR4]","55296","1769472"
"0x782ae6302ce0","      FSETP.GEU.AND P0, PT, |R195|, +INF , PT","55296","1769472"
"0x782ae6302cf0","      HMMA.1688.F32.TF32 R20, R164, R174, R20","55296","1769472"
"0x782ae6302d00","      LDS R137, [R214+UR4+0x800]","55296","1769472"
"0x782ae6302d10","      LDS R144, [R214+UR4+0x80]","55296","1769472"
"0x782ae6302d20","      HMMA.1688.F32.TF32 R24, R164, R176, R24","55296","1769472"
"0x782ae6302d30","      LDSM.16.M88.4 R132, [R197+UR5]","55296","1769472"
"0x782ae6302d40","@!P0  IMAD.IADD.U32 R195, R195, 0x1, R203","55296","1769472"
"0x782ae6302d50","      HMMA.1688.F32.TF32 R28, R164, R178, R28","55296","1769472"
"0x782ae6302d60","      LDS R140, [R216+UR4]","55296","1769472"
"0x782ae6302d70","      LDS R141, [R216+UR4+0x800]","55296","1769472"
"0x782ae6302d80","      HMMA.1688.F32.TF32 R32, R164, R180, R32","55296","1769472"
"0x782ae6302d90","      LDS R142, [R213+UR4+0x80]","55296","1769472"
"0x782ae6302da0","      LDS R143, [R213+UR4+0x880]","55296","1769472"
"0x782ae6302db0","      HMMA.1688.F32.TF32 R36, R184, R180, R36","55296","1769472"
"0x782ae6302dc0","      LDSM.16.M88.4 R152, [R197+UR5+0x1400]","55296","1769472"
"0x782ae6302dd0","      HMMA.1688.F32.TF32 R40, R184, R178, R40","55296","1769472"
"0x782ae6302de0","      LDS R146, [R215+UR4+0x80]","55296","1769472"
"0x782ae6302df0","      LDS R147, [R215+UR4+0x880]","55296","1769472"
"0x782ae6302e00","      HMMA.1688.F32.TF32 R44, R184, R176, R44","55296","1769472"
"0x782ae6302e10","      LDS R148, [R216+UR4+0x80]","55296","1769472"
"0x782ae6302e20","      LDS R149, [R216+UR4+0x880]","55296","1769472"
"0x782ae6302e30","      HMMA.1688.F32.TF32 R48, R184, R174, R48","55296","1769472"
"0x782ae6302e40","      LDSM.16.M88.4 R156, [R197+UR5+0x2800]","55296","1769472"
"0x782ae6302e50","      HMMA.1688.F32.TF32 R52, R184, R172, R52","55296","1769472"
"0x782ae6302e60","      LDSM.16.M88.4 R160, [R197+UR5+0x3c00]","55296","1769472"
"0x782ae6302e70","      HMMA.1688.F32.TF32 R56, R184, R170, R56","55296","1769472"
"0x782ae6302e80","      HMMA.1688.F32.TF32 R60, R184, R168, R60","55296","1769472"
"0x782ae6302e90","      HMMA.1688.F32.TF32 R64, R184, R150, R64","55296","1769472"
"0x782ae6302ea0","      HMMA.1688.F32.TF32 R68, R188, R150, R68","55296","1769472"
"0x782ae6302eb0","      FSETP.GEU.AND P0, PT, |R139|, +INF , PT","55296","1769472"
"0x782ae6302ec0","      FSETP.GEU.AND P1, PT, |R138|, +INF , PT","55296","1769472"
"0x782ae6302ed0","      HMMA.1688.F32.TF32 R72, R188, R168, R72","55296","1769472"
"0x782ae6302ee0","      FSETP.GEU.AND P6, PT, |R2|, +INF , PT","55296","1769472"
"0x782ae6302ef0","      FSETP.GEU.AND P5, PT, |R3|, +INF , PT","55296","1769472"
"0x782ae6302f00","      FSETP.GEU.AND P4, PT, |R136|, +INF , PT","55296","1769472"
"0x782ae6302f10","      HMMA.1688.F32.TF32 R76, R188, R170, R76","55296","1769472"
"0x782ae6302f20","      FSETP.GEU.AND P3, PT, |R137|, +INF , PT","55296","1769472"
"0x782ae6302f30","@!P0  IMAD.IADD.U32 R139, R139, 0x1, R203","55296","1769472"
"0x782ae6302f40","      FSETP.GEU.AND P0, PT, |R145|, +INF , PT","55296","1769472"
"0x782ae6302f50","@!P1  IMAD.IADD.U32 R138, R138, 0x1, R203","55296","1769472"
"0x782ae6302f60","      FSETP.GEU.AND P1, PT, |R144|, +INF , PT","55296","1769472"
"0x782ae6302f70","      HMMA.1688.F32.TF32 R80, R188, R172, R80","55296","1769472"
"0x782ae6302f80","      FSETP.GEU.AND P2, PT, |R162|, +INF , PT","55296","1769472"
"0x782ae6302f90","@!P6  IMAD.IADD.U32 R2, R2, 0x1, R203","55296","1769472"
"0x782ae6302fa0","      FSETP.GEU.AND P6, PT, |R140|, +INF , PT","55296","1769472"
"0x782ae6302fb0","@!P5  IMAD.IADD.U32 R3, R3, 0x1, R203","55296","1769472"
"0x782ae6302fc0","      FSETP.GEU.AND P5, PT, |R141|, +INF , PT","55296","1769472"
"0x782ae6302fd0","      HMMA.1688.F32.TF32 R84, R188, R174, R84","55296","1769472"
"0x782ae6302fe0","@!P0  IMAD.IADD.U32 R145, R145, 0x1, R203","55296","1769472"
"0x782ae6302ff0","      FSETP.GEU.AND P0, PT, |R133|, +INF , PT","55296","1769472"
"0x782ae6303000","@!P4  IMAD.IADD.U32 R136, R136, 0x1, R203","55296","1769472"
"0x782ae6303010","      FSETP.GEU.AND P4, PT, |R142|, +INF , PT","55296","1769472"
"0x782ae6303020","      HMMA.1688.F32.TF32 R88, R188, R176, R88","55296","1769472"
"0x782ae6303030","@!P3  IMAD.IADD.U32 R137, R137, 0x1, R203","55296","1769472"
"0x782ae6303040","      FSETP.GEU.AND P3, PT, |R143|, +INF , PT","55296","1769472"
"0x782ae6303050","@!P1  IMAD.IADD.U32 R144, R144, 0x1, R203","55296","1769472"
"0x782ae6303060","      FSETP.GEU.AND P1, PT, |R132|, +INF , PT","55296","1769472"
"0x782ae6303070","      HMMA.1688.F32.TF32 R92, R188, R178, R92","55296","1769472"
"0x782ae6303080","@!P0  IMAD.IADD.U32 R133, R133, 0x1, R203","55296","1769472"
"0x782ae6303090","      FSETP.GEU.AND P0, PT, |R155|, +INF , PT","55296","1769472"
"0x782ae63030a0","@!P6  IMAD.IADD.U32 R140, R140, 0x1, R203","55296","1769472"
"0x782ae63030b0","      FSETP.GEU.AND P6, PT, |R146|, +INF , PT","55296","1769472"
"0x782ae63030c0","      HMMA.1688.F32.TF32 R96, R188, R180, R96","55296","1769472"
"0x782ae63030d0","@!P5  IMAD.IADD.U32 R141, R141, 0x1, R203","55296","1769472"
"0x782ae63030e0","      FSETP.GEU.AND P5, PT, |R147|, +INF , PT","55296","1769472"
"0x782ae63030f0","@!P4  IMAD.IADD.U32 R142, R142, 0x1, R203","55296","1769472"
"0x782ae6303100","      FSETP.GEU.AND P4, PT, |R148|, +INF , PT","55296","1769472"
"0x782ae6303110","      HMMA.1688.F32.TF32 R100, R192, R180, R100","55296","1769472"
"0x782ae6303120","@!P3  IMAD.IADD.U32 R143, R143, 0x1, R203","55296","1769472"
"0x782ae6303130","      FSETP.GEU.AND P3, PT, |R149|, +INF , PT","55296","1769472"
"0x782ae6303140","@!P1  IMAD.IADD.U32 R132, R132, 0x1, R203","55296","1769472"
"0x782ae6303150","      FSETP.GEU.AND P1, PT, |R154|, +INF , PT","55296","1769472"
"0x782ae6303160","      HMMA.1688.F32.TF32 R104, R192, R178, R104","55296","1769472"
"0x782ae6303170","@!P0  IMAD.IADD.U32 R155, R155, 0x1, R203","55296","1769472"
"0x782ae6303180","      FSETP.GEU.AND P0, PT, |R157|, +INF , PT","55296","1769472"
"0x782ae6303190","@!P6  IMAD.IADD.U32 R146, R146, 0x1, R203","55296","1769472"
"0x782ae63031a0","      FSETP.GEU.AND P6, PT, |R134|, +INF , PT","55296","1769472"
"0x782ae63031b0","      HMMA.1688.F32.TF32 R108, R192, R176, R108","55296","1769472"
"0x782ae63031c0","@!P5  IMAD.IADD.U32 R147, R147, 0x1, R203","55296","1769472"
"0x782ae63031d0","      FSETP.GEU.AND P5, PT, |R135|, +INF , PT","55296","1769472"
"0x782ae63031e0","@!P4  IMAD.IADD.U32 R148, R148, 0x1, R203","55296","1769472"
"0x782ae63031f0","      FSETP.GEU.AND P4, PT, |R152|, +INF , PT","55296","1769472"
"0x782ae6303200","      HMMA.1688.F32.TF32 R112, R192, R174, R112","55296","1769472"
"0x782ae6303210","@!P3  IMAD.IADD.U32 R149, R149, 0x1, R203","55296","1769472"
"0x782ae6303220","      FSETP.GEU.AND P3, PT, |R153|, +INF , PT","55296","1769472"
"0x782ae6303230","@!P1  IMAD.IADD.U32 R154, R154, 0x1, R203","55296","1769472"
"0x782ae6303240","      FSETP.GEU.AND P1, PT, |R156|, +INF , PT","55296","1769472"
"0x782ae6303250","      HMMA.1688.F32.TF32 R116, R192, R172, R116","55296","1769472"
"0x782ae6303260","@!P0  IMAD.IADD.U32 R157, R157, 0x1, R203","55296","1769472"
"0x782ae6303270","      ISETP.GT.AND P0, PT, R202, -0x3, PT","55296","1769472"
"0x782ae6303280","@!P6  IMAD.IADD.U32 R134, R134, 0x1, R203","55296","1769472"
"0x782ae6303290","      FSETP.GEU.AND P6, PT, |R158|, +INF , PT","55296","1769472"
"0x782ae63032a0","      HMMA.1688.F32.TF32 R120, R192, R170, R120","55296","1769472"
"0x782ae63032b0","@!P5  IMAD.IADD.U32 R135, R135, 0x1, R203","55296","1769472"
"0x782ae63032c0","      FSETP.GEU.AND P5, PT, |R159|, +INF , PT","55296","1769472"
"0x782ae63032d0","@!P4  IMAD.IADD.U32 R152, R152, 0x1, R203","55296","1769472"
"0x782ae63032e0","      FSETP.GEU.AND P4, PT, |R160|, +INF , PT","55296","1769472"
"0x782ae63032f0","@!P3  IMAD.IADD.U32 R153, R153, 0x1, R203","55296","1769472"
"0x782ae6303300","      HMMA.1688.F32.TF32 R124, R192, R168, R124","55296","1769472"
"0x782ae6303310","@!P1  IMAD.IADD.U32 R156, R156, 0x1, R203","55296","1769472"
"0x782ae6303320","      FSETP.GEU.AND P3, PT, |R161|, +INF , PT","55296","1769472"
"0x782ae6303330","      IMAD.MOV.U32 R202, RZ, RZ, R212","55296","1769472"
"0x782ae6303340","      FSETP.GEU.AND P1, PT, |R163|, +INF , PT","55296","1769472"
"0x782ae6303350","@!P6  IMAD.IADD.U32 R158, R158, 0x1, R203","55296","1769472"
"0x782ae6303360","      HMMA.1688.F32.TF32 R128, R192, R150, R128","55296","1769472"
"0x782ae6303370","@!P5  IMAD.IADD.U32 R159, R159, 0x1, R203","55296","1769472"
"0x782ae6303380","@!P4  IMAD.IADD.U32 R160, R160, 0x1, R203","55296","1769472"
"0x782ae6303390","@!P2  IMAD.IADD.U32 R162, R162, 0x1, R203","55296","1769472"
"0x782ae63033a0","@!P3  IMAD.IADD.U32 R161, R161, 0x1, R203","55296","1769472"
"0x782ae63033b0","@!P1  IMAD.IADD.U32 R163, R163, 0x1, R203","55296","1769472"
"0x782ae63033c0","@P0   BRA 0x782ae6302240","55296","1757184"
"0x782ae63033d0","      LDGDEPBAR","384","12288"
"0x782ae63033e0","      ISETP.NE.U32.AND P2, PT, RZ, c[0x0][0x268], PT","384","12288"
"0x782ae63033f0","      ISETP.NE.U32.AND P1, PT, RZ, c[0x0][0x270], PT","384","12288"
"0x782ae6303400","      LDGDEPBAR","384","12288"
"0x782ae6303410","      ISETP.NE.AND.EX P2, PT, RZ, c[0x0][0x26c], PT, P2","384","12288"
"0x782ae6303420","      ISETP.NE.AND.EX P1, PT, RZ, c[0x0][0x274], PT, P1","384","12288"
"0x782ae6303430","@P2   IMAD.MOV.U32 R134, RZ, RZ, c[0x0][0x268]","384","0"
"0x782ae6303440","@P2   IMAD.MOV.U32 R135, RZ, RZ, c[0x0][0x26c]","384","0"
"0x782ae6303450","@P1   MOV R132, c[0x0][0x270]","384","0"
"0x782ae6303460","@P1   IMAD.MOV.U32 R133, RZ, RZ, c[0x0][0x274]","384","0"
"0x782ae6303470","      DEPBAR.LE SB0, 0x0","384","12288"
"0x782ae6303480","      BAR.SYNC.DEFER_BLOCKING 0x0","384","12288"
"0x782ae6303490","@P2   LDG.E R166, [R134]","384","0"
"0x782ae63034a0","@P1   LDG.E R167, [R132]","384","0"
"0x782ae63034b0","      S2UR UR5, SR_CTAID.Y","384","12288"
"0x782ae63034c0","      IMAD.MOV.U32 R2, RZ, RZ, -0x1","384","12288"
"0x782ae63034d0","      ULDC UR4, c[0x0][0x178]","384","12288"
"0x782ae63034e0","      S2R R164, SR_CTAID.X","384","12288"
"0x782ae63034f0","      ISETP.NE.AND P0, PT, RZ, c[0x0][0x17c], PT","384","12288"
"0x782ae6303500","      IMAD.MOV.U32 R165, RZ, RZ, c[0x0][0x260]","384","12288"
"0x782ae6303510","      SHF.L.U32 R139, R2, c[0x0][0x178], RZ","384","12288"
"0x782ae6303520","      IMAD.MOV.U32 R137, RZ, RZ, -0x1","384","12288"
"0x782ae6303530","      MOV R168, 0x4","384","12288"
"0x782ae6303540","      IMAD.MOV.U32 R134, RZ, RZ, c[0x0][0x290]","384","12288"
"0x782ae6303550","      MOV R135, c[0x0][0x294]","384","12288"
"0x782ae6303560","      USHF.L.U32 UR4, UR5, UR4, URZ","384","12288"
"0x782ae6303570","      MOV R132, c[0x0][0x288]","384","12288"
"0x782ae6303580","      IMAD.MOV.U32 R133, RZ, RZ, c[0x0][0x28c]","384","12288"
"0x782ae6303590","      LOP3.LUT R139, R164, R139, RZ, 0x30, !PT","384","12288"
"0x782ae63035a0","      SHF.R.S32.HI R164, RZ, c[0x0][0x178], R164","384","12288"
"0x782ae63035b0","      IADD3 R139, R139, UR4, RZ","384","12288"
"0x782ae63035c0","      IMAD R169, R139, c[0x0][0x16c], R164","384","12288"
"0x782ae63035d0","      IMAD.WIDE R168, R169, R168, c[0x0][0x190]","384","12288"
"0x782ae63035e0","@!P2  IMAD.MOV.U32 R166, RZ, RZ, c[0x0][0x258]","384","12288"
"0x782ae63035f0","@!P1  MOV R167, c[0x0][0x25c]","384","12288"
"0x782ae6303600","@!P0  BRA 0x782ae6303860","384","12288"
"0x782ae6303610","      IMAD.MOV.U32 R3, RZ, RZ, c[0x0][0x17c]","0","0"
"0x782ae6303620","      IADD3 R2, R3, -0x1, RZ","0","0"
"0x782ae6303630","      IMNMX.U32 R2, R2, 0x2, PT","0","0"
"0x782ae6303640","      IMAD.SHL.U32 R2, R2, 0x4, RZ","0","0"
"0x782ae6303650","      LDC R140, c[0x2][R2]","0","0"
"0x782ae6303660","      SHF.R.S32.HI R141, RZ, 0x1f, R140","0","0"
"0x782ae6303670","      BRX R140, -0x3680","0","0"
"0x782ae6303680","      ISETP.NE.AND P0, PT, R3, 0x3, PT","0","0"
"0x782ae6303690","@P0   BRA 0x782ae6303920","0","0"
"0x782ae63036a0","      MOV R135, 0x8","0","0"
"0x782ae63036b0","      IMAD.WIDE R132, R182, R135, c[0x0][0x288]","0","0"
"0x782ae63036c0","      IMAD.WIDE R134, R182, R135, c[0x0][0x290]","0","0"
"0x782ae63036d0","      LDG.E.64 R132, [R132]","0","0"
"0x782ae63036e0","      LDG.E.64 R134, [R134]","0","0"
"0x782ae63036f0","      BRA 0x782ae6303920","0","0"
"0x782ae6303700","      SHF.R.S32.HI R135, RZ, 0x1f, R182","0","0"
"0x782ae6303710","      IMAD.WIDE.U32 R140, R182, c[0x0][0x2a8], RZ","0","0"
"0x782ae6303720","      IMAD R133, R135, c[0x0][0x2a8], RZ","0","0"
"0x782ae6303730","      LEA R132, P1, R140, c[0x0][0x288], 0x2","0","0"
"0x782ae6303740","      IMAD R135, R135, c[0x0][0x188], RZ","0","0"
"0x782ae6303750","      IMAD.WIDE.U32 R2, R182, c[0x0][0x188], RZ","0","0"
"0x782ae6303760","      IMAD R133, R182, c[0x0][0x2ac], R133","0","0"
"0x782ae6303770","      LEA R134, P0, R2, c[0x0][0x290], 0x2","0","0"
"0x782ae6303780","      IMAD R135, R182, c[0x0][0x18c], R135","0","0"
"0x782ae6303790","      IADD3 R133, R141, R133, RZ","0","0"
"0x782ae63037a0","      IADD3 R135, R3, R135, RZ","0","0"
"0x782ae63037b0","      LEA.HI.X R133, R140, c[0x0][0x28c], R133, 0x2, P1","0","0"
"0x782ae63037c0","      LEA.HI.X R135, R2, c[0x0][0x294], R135, 0x2, P0","0","0"
"0x782ae63037d0","      BRA 0x782ae6303920","0","0"
"0x782ae63037e0","      SHF.R.S32.HI R135, RZ, 0x1f, R182","0","0"
"0x782ae63037f0","      IMAD.WIDE.U32 R2, R182, c[0x0][0x188], RZ","0","0"
"0x782ae6303800","      IMAD R135, R135, c[0x0][0x188], RZ","0","0"
"0x782ae6303810","      LEA R134, P0, R2, c[0x0][0x290], 0x2","0","0"
"0x782ae6303820","      IMAD R135, R182, c[0x0][0x18c], R135","0","0"
"0x782ae6303830","      IADD3 R135, R3, R135, RZ","0","0"
"0x782ae6303840","      LEA.HI.X R135, R2, c[0x0][0x294], R135, 0x2, P0","0","0"
"0x782ae6303850","      BRA 0x782ae6303920","0","0"
"0x782ae6303860","      MOV R3, c[0x0][0x174]","384","12288"
"0x782ae6303870","      ISETP.GE.AND P0, PT, R3, 0x2, PT","384","12288"
"0x782ae6303880","@!P0  BRA 0x782ae6303920","384","12288"
"0x782ae6303890","      ISETP.GT.AND P0, PT, R0, RZ, PT","0","0"
"0x782ae63038a0","      IMAD.MOV.U32 R137, RZ, RZ, -0x1","0","0"
"0x782ae63038b0","@!P0  LDG.E.STRONG.GPU R137, [R168]","0","0"
"0x782ae63038c0","      IADD3 R3, R3, -0x1, RZ","0","0"
"0x782ae63038d0","      ISETP.NE.AND P1, PT, R182, RZ, PT","0","0"
"0x782ae63038e0","      ISETP.NE.AND P0, PT, R3, R182, PT","0","0"
"0x782ae63038f0","      FSEL R167, R167, 1, !P1","0","0"
"0x782ae6303900","      FSEL R165, R2, c[0x0][0x260], P0","0","0"
"0x782ae6303910","      CCTL.IVALL","0","0"
"0x782ae6303920","      SHF.R.S32.HI R145, RZ, 0x1f, R0","384","12288"
"0x782ae6303930","      IMAD.MOV.U32 R138, RZ, RZ, c[0x0][0x174]","384","12288"
"0x782ae6303940","      ULEA UR14, UR16, UR14, 0x1","384","12288"
"0x782ae6303950","      ISETP.NE.U32.AND P1, PT, R132, RZ, PT","384","12288"
"0x782ae6303960","      USHF.L.U32 UR15, UR15, 0x5, URZ","384","12288"
"0x782ae6303970","      LEA.HI R3, R145, R0, RZ, 0x5","384","12288"
"0x782ae6303980","      USHF.L.U32 UR14, UR14, 0x3, URZ","384","12288"
"0x782ae6303990","      LEA.HI R145, R145, R0, RZ, 0x7","384","12288"
"0x782ae63039a0","      ULDC.64 UR6, c[0x0][0x1f8]","384","12288"
"0x782ae63039b0","      SHF.R.S32.HI R2, RZ, 0x5, R3","384","12288"
"0x782ae63039c0","      UIMAD UR14, UR14, 0x44, UR15","384","12288"
"0x782ae63039d0","      LOP3.LUT R3, R3, 0xffffffe0, RZ, 0xc0, !PT","384","12288"
"0x782ae63039e0","      IMAD.MOV.U32 R175, RZ, RZ, c[0x0][0x1e0]","384","12288"
"0x782ae63039f0","      SHF.R.S32.HI R143, RZ, 0x1f, R2","384","12288"
"0x782ae6303a00","      LOP3.LUT R141, R145, 0xffffff80, RZ, 0xc0, !PT","384","12288"
"0x782ae6303a10","      IMAD.IADD R3, R0, 0x1, -R3","384","12288"
"0x782ae6303a20","      LEA.HI R143, R143, R2, RZ, 0x2","384","12288"
"0x782ae6303a30","      SHF.R.S32.HI R145, RZ, 0x7, R145","384","12288"
"0x782ae6303a40","      LOP3.LUT R143, R143, 0xfffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6303a50","      SHF.R.S32.HI R136, RZ, 0x1f, R3","384","12288"
"0x782ae6303a60","      ISETP.GT.AND P6, PT, R138, 0x1, PT","384","12288"
