"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae6300740","      IMAD R28, R20, 0x4, R31","384","12288"
"0x782ae6300750","      LEA.HI R22, R22, R25, RZ, 0x2","384","12288"
"0x782ae6300760","      IMAD R24, R17, 0x4, R20","384","12288"
"0x782ae6300770","      IADD3 R12, R14, 0x10, RZ","384","12288"
"0x782ae6300780","      IMAD.SHL.U32 R15, R15, 0x4, RZ","384","12288"
"0x782ae6300790","      IADD3 R10, R14, 0x18, RZ","384","12288"
"0x782ae63007a0","      CS2R R82, SRZ","384","12288"
"0x782ae63007b0","      SHF.R.S32.HI R33, RZ, 0x1f, R24","384","12288"
"0x782ae63007c0","      IMAD R16, R16, 0x80, R15","384","12288"
"0x782ae63007d0","      LEA.HI.SX32 R18, R11, R18, 0x1d","384","12288"
"0x782ae63007e0","      CS2R R80, SRZ","384","12288"
"0x782ae63007f0","      LEA.HI R33, R33, R24, RZ, 0x2","384","12288"
"0x782ae6300800","      CS2R R54, SRZ","384","12288"
"0x782ae6300810","      LOP3.LUT R22, R22, 0x3ffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300820","      IMAD.IADD R27, R18, 0x1, R31","384","12288"
"0x782ae6300830","      LOP3.LUT R33, R33, 0xfffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300840","      CS2R R30, SRZ","384","12288"
"0x782ae6300850","      ISETP.GE.AND P3, PT, R14, c[0x0][0x160], PT","384","12288"
"0x782ae6300860","      IMAD.IADD R22, R25, 0x1, -R22","384","12288"
"0x782ae6300870","      ISETP.GE.AND P1, PT, R13, c[0x0][0x160], PT","384","12288"
"0x782ae6300880","      IMAD.IADD R17, R24, 0x1, -R33","384","12288"
"0x782ae6300890","      ISETP.GE.AND P2, PT, R12, c[0x0][0x160], PT","384","12288"
"0x782ae63008a0","      CS2R R52, SRZ","384","12288"
"0x782ae63008b0","      ISETP.GE.AND P6, PT, R10, c[0x0][0x160], PT","384","12288"
"0x782ae63008c0","      CS2R R122, SRZ","384","12288"
"0x782ae63008d0","      ISETP.LT.AND P0, PT, R28, R9, !P3","384","12288"
"0x782ae63008e0","      CS2R R120, SRZ","384","12288"
"0x782ae63008f0","      ISETP.LT.AND P1, PT, R28, R9, !P1","384","12288"
"0x782ae6300900","      CS2R R78, SRZ","384","12288"
"0x782ae6300910","      ISETP.LT.AND P2, PT, R28, R9, !P2","384","12288"
"0x782ae6300920","      CS2R R76, SRZ","384","12288"
"0x782ae6300930","      ISETP.LT.AND P3, PT, R28, R9, !P6","384","12288"
"0x782ae6300940","      CS2R R58, SRZ","384","12288"
"0x782ae6300950","      SHF.R.S32.HI R21, RZ, 0x1f, R14","384","12288"
"0x782ae6300960","      CS2R R56, SRZ","384","12288"
"0x782ae6300970","      SHF.R.S32.HI R24, RZ, 0x1f, R27","384","12288"
"0x782ae6300980","      CS2R R126, SRZ","384","12288"
"0x782ae6300990","      P2R R23, PR, RZ, 0xf","384","12288"
"0x782ae63009a0","      IMAD R21, R21, c[0x0][0x198], RZ","384","12288"
"0x782ae63009b0","      LOP3.LUT R22, R17, R22, RZ, 0x3c, !PT","384","12288"
"0x782ae63009c0","      IMAD R24, R24, c[0x0][0x1b8], RZ","384","12288"
"0x782ae63009d0","      ISETP.GE.AND P3, PT, R27, R9, PT","384","12288"
"0x782ae63009e0","      IMAD R21, R14, c[0x0][0x19c], R21","384","12288"
"0x782ae63009f0","      IADD3 R11, R16, 0x20, RZ","384","12288"
"0x782ae6300a00","      IMAD.IADD R22, R33, 0x1, R22","384","12288"
"0x782ae6300a10","      IADD3 R10, R16, 0x40, RZ","384","12288"
"0x782ae6300a20","      IMAD R24, R27, c[0x0][0x1bc], R24","384","12288"
"0x782ae6300a30","      SHF.R.S32.HI R29, RZ, 0x1f, R28","384","12288"
"0x782ae6300a40","      CS2R R32, SRZ","384","12288"
"0x782ae6300a50","      IADD3 R9, R16, 0x60, RZ","384","12288"
"0x782ae6300a60","      CS2R R124, SRZ","384","12288"
