"Kernel Name","gemm_bi_nt_sm80_mma_tf32_v1_m128n64_bk32_s3",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x700d8bcce7b0","      LOP3.LUT P0, RZ, R3, c[0x0][0x194], RZ, 0xc0, !PT","0","0","0","1536","49152","49152","32","32","32","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce7c0","@!P2  IMAD.MOV R2, RZ, RZ, -R2","1","0","1","1536","49152","0","32","0","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce7d0","@!P1  LOP3.LUT R2, RZ, R4, RZ, 0x33, !PT","0","0","0","1536","49152","0","32","0","0","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce7e0","      LOP3.LUT P1, RZ, R3, c[0x0][0x198], RZ, 0xc0, !PT","0","0","0","1536","49152","49152","32","32","32","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce7f0","      PLOP3.LUT P0, PT, P0, PT, UP0, 0x4, 0x0","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce800","      IMAD.MOV R3, RZ, RZ, -R2","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce810","      PLOP3.LUT P2, PT, P1, PT, UP1, 0x4, 0x0","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce820","      PLOP3.LUT P1, PT, P1, PT, UP1, 0x4, 0x0","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce830","      IMAD R3, R4, R3, R5","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce840","      LOP3.LUT R109, R0, 0x1f, RZ, 0xc0, !PT","1","1","1","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce850","      LOP3.LUT R108, R0, 0xffffffc0, RZ, 0xc0, !PT","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce860","      LOP3.LUT R4, R0, 0x20, RZ, 0xc0, !PT","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700d8bcce870","      LOP3.LUT R5, R0, 0x3, RZ, 0xc0, !PT","0","0","0","1536","49152","49152","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
